,0,Minimum_A_F,Maximum_A_F,RMS_A_F,Variance_A_F,STD_A_F,Kurtosis_A_F,Skewness_A_F,RangeA_F,Minimum_A_V,Maximum_A_V,RMS_A_V,Variance_A_V,STD_A_V,Kurtosis_A_V,Skewness_A_V,RangeA_V,Minimum_A_L,Maximum_A_L,RMS_A_L,Variance_A_L,STD_A_L,Kurtosis_A_L,RangeA_L,P_A_F,P_A_V,P_A_L,EN_A_F,EN_A_V,EN_A_L,ENt_A_F,ENt_A_V,ENt_A_L
10872,1,-1848,595,477.3975675,100102.1875,316.3892974,9.504380496,-2.063646774,2443,421,1480,961.4607945,31411.39038,177.2325884,1.38802267,-0.408191494,1059,-712,623,306.20027660000005,24466.27319,156.416985,21.78951458,1335,768688.3307,3698014.738,374829.3121,14586140,59162039,6000551,2.9709179389999996,1.8192985030000002,3.064504087
10873,1,-3131,2171,727.6700832,473601.0586,688.1867905,6.257345723999999,-0.284824672,5302,-2156,4764,1259.391092,757141.0291,870.1385114,10.9644796,1.680585077,6920,-4950,2128,840.3139666000001,619028.7969,786.7838311,29.05516804,7078,3147372.9,8674965.915,5036197.333000001,33888240,101508219,45192164,2.968960665,3.099144443,3.188537916
10874,1,-3656,909,696.7553597,386930.8975,622.0376977999999,17.99890037,-3.8608474619999997,4565,98,2392,1061.267057,145537.9705,381.49439110000003,1.923037233,0.551564611,2294,-772,1108,419.5167421,54966.40991,234.4491627,10.33239456,1880,9664344.241,7199638.502,1161185.973,31069954,72082417,11263635,2.978121663,2.8807634230000003,3.213341453
10875,1,-4737,1131,1143.9164289999999,1157138.6909999999,1075.703812,6.671028231,-2.5576121990000003,5868,117,2852,1025.657647,239862.8611,489.75796169999995,2.932763146,1.18654576,2735,-1198,2237,579.4350832,199803.0212,446.99331229999996,7.015942207999999,3435,37677666.15,8810900.867999999,2119979.141,83746867,67326311,21487681,2.7292018710000003,2.8782968010000003,2.6584865090000003
10876,1,-5020,4010,1478.891725,2126934.845,1458.401469,4.49831076,-1.022516055,9030,-2823,4254,1467.6841769999999,1189834.2179999999,1090.795223,2.218405581,-0.7487386629999999,7077,-524,4623,744.2703432,386401.6211,621.6121147000001,30.34427434,5147,23229998.08,39783861.92,6575367.532000001,139975727,137862198,35452054,2.987053398,2.791027515,3.135466913
10877,1,-2444,929,492.3500882,175448.9607,418.86628019999995,10.69531225,-1.5246104109999998,3373,303,2235,1033.762402,67195.41382,259.220782,6.982191061,1.403959318,1932,-772,970,335.06969889999993,84917.64429,291.4063216,2.334528947,1742,711695.1884,5687272.007999999,3167273.6,15514151,68394541,7185389,3.099307757,3.10564645,2.7787742000000004
10878,1,-646,161,237.4784201,20604.08984,143.5412479,1.5369960180000002,-0.567897549,807,784,1176,1016.956857,4864.183594,69.74369931,1.188746207,-0.653943626,392,-287,336,164.5988969,15533.187259999999,124.63220790000001,0.161201718,623,559973.2998,4159522.54,501239.836,3609344,66188880,1733939,2.93757282,2.745259481,2.4045144769999998
10879,1,-1656,535,379.46576339999996,124354.8708,352.63986,4.059993239,-1.2290905509999999,2191,333,1882,1048.824841,53216.80835,230.68768569999997,3.369113627,0.06027315900000001,1549,-742,693,231.0966383,42544.1084,206.2622321,6.3898745120000005,1435,1395270.483,5396477.134,434440.18299999996,9215633,70402147,3417962,3.044493712,2.8034490180000002,3.047464988
10880,1,-1797,3282,618.9405515,339144.7656,582.3613703,18.58810286,2.94590296,5079,245,3745,1113.559341,201271.2461,448.63264050000004,18.96889563,3.22858647,3500,-1118,851,360.310413,109774.8037,331.3228089,3.0307572210000004,1969,1270040.189,7097464.387,2665302.838,24517594,79360922,8308710,3.153538915,3.128485434,2.687541506
10881,1,-1828,585,393.1192567,91808.15527,302.9986061,10.13308221,-1.865513611,2413,441,1607,1027.59719,36203.14233,190.2712336,2.36393392,0.096093077,1166,-445,693,245.7701543,46508.45313,215.6581859,0.289896167,1138,1285309.58,4536018.249,754940.6447,9890736,67581183,3865790,3.0517768519999997,2.519449392,2.8795905989999997
10882,1,-606,191,278.0218348,21872.6814,147.8941561,0.813405635,0.14477489,797,774,1137,1004.5874,4816.058594,69.39782845,0.521373905,-0.559607023,363,-99,445,184.1151134,10297.73438,101.4777531,0.5618591239999999,544,867045.4418,4447924.7469999995,464866.5495,4946953,64588534,2169496,2.7504034660000003,2.79398013,2.410170392
10883,1,-929,222,325.0340848,44854.08984,211.78784159999998,1.952228971,-0.8263629309999999,1151,823,1235,1003.350216,7024.131836,83.81009388,-0.024793219,0.254081706,412,-455,475,229.98807709999997,23744.288819999998,154.09181940000002,5.05092873,930,835618.11,4280826.057,804056.6915,6761418,64429546,3385249,3.078033724,3.019743604,2.6814662019999997
10884,1,-1818,222,377.779677,80490.6228,283.7086936,14.8382674,-3.297070399,2040,245,1705,1017.835625,39642.26733,199.10365980000003,5.016907925,-0.702838781,1460,-485,554,243.4182037,38086.71851,195.1581884,1.923587238,1039,833398.5146,4660047.911,821476.0973,9133919,66303319,3792155,3.065726128,2.509906708,2.800028118
10885,1,-808,262,317.2963668,48942.0603,221.2285251,-0.032312758999999996,-0.059164296,1070,784,1215,1007.7033759999999,9707.828125,98.52831129,-0.22556991899999998,-0.254796731,431,-594,504,220.4425946,26690.9375,163.3736132,5.242758137,1098,1389292.466,4208171.396000001,492902.6439,6443327,64989830,3110076,2.6476406690000003,2.7575217469999997,3.051775596
10886,1,-1656,969,463.8536609,180912.0898,425.3376187,1.95038448,-0.171253319,2625,117,2303,1066.0937900000001,112728.1943,335.75019629999997,5.3323772819999995,0.984558858,2186,-1574,722,382.120911,123464.7986,351.3755805,8.190948818999999,2296,834030.8167,6003526.424,3492633.9839999997,13770254,72739582,9345049,2.964005966,2.848882376,2.8665350839999997
10887,1,-1242,969,409.5172654,136037.0759,368.832043,2.1761016669999997,0.872228143,2211,421,1480,1015.128956,23192.292719999998,152.29015959999998,3.6977221510000002,-0.68912538,1059,-267,742,315.9091048,51604.592769999996,227.1664429,0.213135178,1009,1640009.59,4575607.95,548313.2745,10733081,65951155,6387108,3.029524639,2.9939942989999997,2.822204517
10888,1,-5000,2969,1055.940776,1022243.088,1011.0603779999999,12.21378976,-1.979497461,7969,-1735,4598,1194.4071880000001,472323.7656,687.2581506,13.64375959,1.43310124,6333,-1346,1405,478.44923650000004,174238.0798,417.41835110000005,5.157062505,2751,2526538.519,6491198.137,2194238.038,71360699,91302946,14650475,2.973216195,3.0055395380000003,3.0682651
10889,1,-5010,2848,923.6589349999999,738531.8416,859.3787533,14.39745472,-1.810153321,7858,-470,3598,1147.1063800000002,401827.4197,633.8985878,7.390298108,1.889320001,4068,-1970,980,506.08960419999994,225698.2461,475.0770949,8.23017861,2950,2557047.873,5913623.955,3285291.222,54601333,84214595,16392108,3.154802582,3.13843701,3.153841424
10890,1,-646,-101,319.0361461,13537.93359,116.3526261,0.091006016,-0.654221053,545,833,1088,983.463586,3490.2773439999996,59.07856924,-0.223579003,-0.549956397,255,-79,455,186.8288405,9559.380615,97.77208505,0.696799101,534,827206.1196,4147863.1210000003,415594.7401,6514180,61900840,2233921,2.659404754,2.698410452,2.421193314
10891,1,-717,222,305.8423562,27707.21265,166.4548367,1.275307557,0.25454079399999996,939,754,1264,1007.553317,9154.6875,95.68013117,1.074043431,0.087848606,510,-217,405,185.6992697,10517.30859,102.5539302,1.917715621,622,956520.7631,4307155.442,300455.5684,5986531,64970476,2206990,2.49250529,2.712630617,2.8231854889999997
10892,1,-838,181,333.8328783,44387.66968,210.6838145,0.346749144,-0.457285075,1019,656,1352,1010.1484109999999,20274.80859,142.3896365,0.511022176,-0.13758137199999998,696,-524,584,222.74544049999997,27988.152339999997,167.29659990000002,2.938339383,1108,1227622.37,4606640.22,635846.1646,7132441,65305588,3175394,2.835207783,2.666627338,2.760022415
10893,1,-3242,828,554.0149478999999,208140.2148,456.2238648,24.46066426,-3.913169188,4070,107,2117,1016.898417,91635.81812000001,302.7140864,4.657266534,0.483801288,2010,-712,643,268.45905760000005,43998.3103,209.7577419,4.551567614,1355,1380996.7519999999,4798841.148,1071910.328,19643684,66181273,4612497,3.219946883,2.90428833,2.873778798
10894,1,-1070,80,365.6234402,43811.70215,209.312451,1.959692437,-0.983570484,1150,382,1470,987.592108,30523.79663,174.7106082,2.732415852,-0.46108661100000004,1088,-128,574,208.4593036,17845.28027,133.5862279,0.36111701700000004,702,1234001.103,3717076.6489999997,360116.9742,8555552,62421643,2781138,2.988464313,2.7859506689999995,2.5382293540000003
10895,1,-989,151,373.4250469,50521.161869999996,224.76913009999998,0.909415023,-0.549860803,1140,656,1156,972.5858332999999,12797.390379999999,113.12555139999999,0.19465629399999998,-0.7103433509999999,500,-79,405,190.5149272,11312.18359,106.35874950000002,-0.124935319,484,1786731.595,3736501.6789999995,163806.1208,8924561,60539085,2322940,2.688512058,3.029576418,2.719372983
10896,1,-949,161,365.75941969999997,44182.626710000004,210.19663819999997,0.47494295799999997,-0.668196834,1110,107,1647,987.8094451999999,61771.74902,248.5392304,2.628561525,-0.9083466290000001,1540,-237,980,342.87782539999995,66114.20483,257.12682639999997,0.7315698840000001,1217,799575.1981,4819129.811000001,1280570.3090000001,8561917,62449120,7524173,3.008974393,2.862510143,2.621265589
10897,1,-2373,1565,674.6925573,375094.5134,612.4496007,4.047301329,-0.6223826610000001,3938,-754,2960,1141.119516,316352.9844,562.4526507999999,4.016864815,0.638566614,3714,-1663,2069,542.1826549,267819.1836,517.5124961,4.5132198930000005,3732,3580815.183,10438557.52,4453869.791,29133443,83337840,18813570,2.8196563180000003,2.717157921,2.848530326
10898,1,-1656,1373,527.8204298999999,193257.3906,439.6104988,3.889731036,-0.111775821,3029,333,1686,1000.30575,42721.20215,206.691079,2.343625496,0.37115623200000003,1353,-2435,980,454.8877265,176950.5781,420.65493949999995,21.05757156,3415,1472187.57,4486351.53,973581.863,17830042,64039142,13243062,3.077542423,2.9188534269999997,2.9922680180000003
10899,1,-4979,1555,949.5535053,848052.3748,920.8975919,11.74010548,-2.710661529,6534,-529,2274,1125.257852,193977.3435,440.4285907,2.872246915,0.043208823,2803,-702,1316,448.5500773,152432.1111,390.42555130000005,0.924065273,2018,16959831.87,7357593.745,2784356.867,57705719,81037135,12876619,2.735482965,2.8325578080000002,2.85038993
10900,1,-2989,1373,690.0478017999999,416553.6943,645.4097103999999,7.066681963,-2.0572510569999998,4362,245,1431,994.9773945000001,36702.38647,191.57866919999998,5.732438727000001,-1.61264276,1186,-267,1089,368.5595695,63693.55371,252.37581839999999,3.011894111,1356,16558145.88,4243276.084,3537202.659,30474622,63358721,8693514,2.796908189,2.633571816,2.608916413
10901,1,-262,-50,153.6471201,1126.1835939999999,33.558659000000006,2.899605295,-0.38423741899999997,212,931,1049,1006.463316,303.5585938,17.42293298,4.263266282,-0.9382226440000001,118,128,277,229.2399466,801.8122559,28.31628958,2.168883733,149,92646.55182000001,4199703.299,226758.4542,1510876,64829978,3363261,2.872463355,2.7410611069999997,2.718840145
10902,1,-2383,1212,579.0995435,300492.3896,548.1718614,5.212609187,-1.284006516,3595,215,1735,1037.808102,81790.01563,285.9895376,1.6977595719999998,-0.563987493,1520,-1653,1227,487.3581685,168537.8865,410.5336606,8.236867627999999,2880,14428928.53,8709826.746,6352962.461,21462802,68930922,15201151,2.569090852,2.542329314,2.953329247
10903,1,-828,696,298.6039392,72231.79688,268.75973819999996,0.945955338,0.156773151,1524,735,1862,1064.74887,34665.538089999995,186.1868365,7.077102652000001,2.050589364,1127,-346,623,277.7685637,20927.10938,144.6620523,5.084675133,969,2572759.871,5258388.848999999,1101370.4540000001,5706516,72556170,4937944,2.543537787,2.720623662,2.651082351
10904,1,-4222,3171,1310.989655,1667674.3590000002,1291.384667,2.455795843,-1.037966119,7393,-529,2294,1163.8863310000002,384929.6013,620.4269508,-0.425204441,-0.349134495,2823,-930,1584,542.0026666,223201.949,472.4425351,0.23944598600000003,2514,34021713.41,16794290.52,4382877.964,109996408,86696409,18801081,3.06578709,2.807149626,3.0099755
10905,1,-1676,2333,652.2582526000001,407363.1853,638.2500962,4.973220736,1.6617374930000002,4009,450,2137,1029.13748,63213.51342999999,251.42297709999997,6.6225442160000005,1.8242700980000002,1687,-584,1099,484.94671100000005,87741.31152,296.2115992,1.206972549,1683,11971435.11,4995641.153,3052793.977,27228213,67783933,15051092,2.9328302319999997,2.7655545310000003,2.79922499
10906,1,-1252,2272,513.4179432,242541.2537,492.48477510000004,7.787823611,1.8648731840000001,3524,313,4058,1096.811772,199868.6211,447.0666853,31.50059742,4.838181792,3745,-4346,1821,768.5237268999999,508957.7959,713.4127808999999,25.91771265,6167,5774300.368,7013475.151000001,9088923.617999999,16870271,76991748,37800238,2.9550821060000003,3.254073135,3.152496152
10907,1,-4939,1696,1231.046982,1496081.7580000001,1223.14421,6.255706469,-2.258390037,6635,-813,2558,1217.396376,406684.9375,637.718541,0.850189967,-0.8227022759999999,3371,-722,1168,458.0871744,161615.5818,402.0144049,-0.051296669,1890,45930932.65,15291313.99,2620314.444,96990507,94851452,13430007,2.688418747,2.759686445,2.510222785
10908,1,-4959,1464,1365.3798689999999,1776683.1840000001,1332.9227970000002,3.9188466689999997,-1.990886291,6423,-568,3774,1207.310758,437152.0486,661.1747489,3.6922773660000003,0.762604453,4342,-980,1950,530.5469906999999,229517.4822,479.07982860000004,2.539322314,2930,52237963.57,11537795.69,4862855.976,119312780,93286353,18014727,2.540005376,2.958038324,3.0306960530000002
10909,1,-5000,3080,1496.497024,2113766.616,1453.879849,2.839537115,-1.5682589230000001,8080,-627,2627,1148.54952,349556.5273,591.2330567,0.348145561,-0.111621157,3254,-2306,1702,610.9796052999999,324999.1482,570.0869655,6.219760428,4008,23564183.47,13174201.01,4722129.4,143328214,84426624,23890949,2.981490183,2.9614193589999998,2.7117922130000003
10910,1,-4878,1424,999.3873436000001,971714.8125,985.7559599,11.58188119,-3.175614992,6302,19,3362,1160.944389,286376.8125,535.1418620000001,3.87393973,0.8985729259999999,3343,-1247,2267,529.6519346,270936.3572,520.5154726,3.582123675,3514,22695959.4,13375538.69,6400098.292,63921604,86258680,17953995,2.977218174,2.8012507110000002,3.042072478
10911,1,-3666,1636,1103.515469,1071667.162,1035.213583,2.9029864780000003,-1.387349146,5302,-549,2950,1128.898481,293631.0381,541.8773275000001,2.946066115,0.585182248,3499,-3475,1623,733.1340579,491468.5935,701.0482105000001,11.08340306,5098,31645698.54,8478636.569,5130297.408,77935769,81562354,34399075,2.760094055,2.9734236239999996,2.9884034739999996
10912,1,-1959,3525,932.3119113,837074.9375,914.9179949999999,5.088864052,1.703750994,5484,196,3372,1080.047966,239585.9607,489.47518899999994,11.31478408,2.812600567,3176,-1970,1534,616.6873195000001,237206.5459,487.0385466,7.816612469,3504,29695255.77,6467122.836,5819171.566000001,55629152,74656231,24339408,2.313387474,2.987377708,2.985198383
10913,1,-1464,2646,834.7527609,673139.4646,820.4507692000001,2.227108667,1.3895719640000002,4110,78,3578,1192.897798,362362.6406,601.9656474,7.779488062,2.415047156,3500,-1346,1623,443.13284550000003,106554.1211,326.4262874,11.85773045,2969,16448321.39,9502187.997000001,1408361.136,44595979,91072330,12567470,2.897510112,3.19664906,3.08066459
10914,1,-1686,1939,705.8661125,452611.3281,672.7639468,2.658011119,1.092833701,3625,186,2156,1056.119962,120320.7803,346.8728589,3.0819491969999997,0.7919310140000001,1970,-1237,2277,600.7582057999999,241615.738,491.54423810000003,5.212685455,3514,12673180.38,6043476.296,3644004.619,31887806,71384920,23098267,2.960755764,2.476883974,2.9760408739999997
10915,1,-1929,1909,701.8685107000001,492124.3438,701.5157472999999,1.04069383,0.633534626,3838,303,3205,1096.7326970000001,192326.4607,438.5504084,8.70826344,2.230368134,2902,-2257,2000,615.5139875,282893.0459,531.8769086,8.817221647,4257,12965085.34,6125467.31,7780164.123,31527642,76980647,24246878,2.8656736339999997,2.95349172,2.95102645
10916,1,-4515,1949,1178.625616,1327126.215,1152.009642,3.5412647510000004,-1.548852025,6464,-29,2245,1146.92316,169830.4392,412.10488860000004,1.630564986,-0.052412732999999996,2274,-524,1544,436.40122740000004,95119.46875,308.4144432,3.523370929,2068,40930493.69,12776930.02,2624567.713,88906134,84187695,12188546,2.7590625010000003,2.707153332,2.822990017
10917,1,-5000,4090,1294.1315439999998,1599691.89,1264.7892669999999,5.823337296,-1.2232460920000001,9090,29,1901,1083.210491,195965.5781,442.67999519999995,-0.21862460399999997,-0.157997463,1872,-683,2118,542.3420997000001,225875.2263,475.26332310000004,3.647276748,2801,21103677.18,7085060.068,3964040.789,107185693,75094078,18824637,3.138068472,2.8171100310000003,2.884083658
10918,1,-4979,3565,1145.295909,1300841.1709999999,1140.544243,7.266786074,-1.645250851,8544,-303,3372,1156.858806,315600.9275,561.7837017,3.376772968,1.041928705,3675,-2306,910,563.2893073,299380.6943,547.1569193,7.227126983,3216,27224651.49,11717223.49,9666802.83,83948974,85652627,20306870,3.1739615430000003,2.970029704,2.5663374880000003
10919,1,-5000,4292,1612.745771,2518157.851,1586.870458,3.109511702,-1.004900127,9292,-529,2637,1215.086918,355484.6563,596.2253402000001,1.160821934,0.14308303,3166,-1831,4059,837.8130851,586405.1287,765.7709375,9.398483435,5890,38393813.07,11733684.54,8831478.907,166460731,94491918,44923569,3.125258399,2.985970178,2.9491977539999996
10920,1,-5000,3393,1488.804701,2172044.809,1473.785876,4.0983157210000005,-1.325170698,8393,-29,2607,1174.1391529999999,324194.6631,569.3809472,0.07927693799999999,0.139729801,2636,-1465,4188,700.2372588999999,452441.1631,672.6374678,17.66852489,5653,23540890.43,12651358.64,12663365.27,141858524,88230576,31381262,3.117706379,2.651774336,2.9583447210000005
10921,1,-5010,4828,1365.763946,1864548.0159999998,1365.484535,7.878774431,-0.411676136,9838,-1617,3098,1258.34217,448900.4646,670.0003467,4.661981798999999,-0.987588415,4715,-1227,2653,506.4817834,215244.9861,463.94502489999996,11.27026582,3880,20033180.75,12387165.49,4440092.305,119379914,101339201,16417523,3.1248609289999996,3.0135130080000003,3.165036236
10922,1,-5010,4676,1287.178843,1605993.218,1267.277877,7.1449232920000005,-0.8972104679999999,9686,-1029,2990,1136.780384,337343.6931,580.8129587999999,2.6587119319999997,0.273974852,4019,-1356,1554,496.193243,177588.2947,421.4122621,3.568487505,2910,26129609.06,8088039.4629999995,3876181.646,106037080,82705257,15757295,3.11892912,2.980927922,3.096335515
10923,1,-5000,2727,1495.641726,2046889.045,1430.695301,2.381951804,-1.52036757,7727,-480,3617,1248.5544949999999,330704.8982,575.0694725,4.518870221999999,0.932577175,4097,-1019,841,421.79978960000005,123451.1719,351.3561895,1.303353693,1860,54587617.43,11093967.87,3184996.752,143164427,99768853,11386564,2.777843106,3.0221195880000002,2.8115377219999997
10924,1,-4636,2292,906.7216530999999,740455.3711,860.4971651000001,9.346797763,-1.8382624930000002,6928,-686,2813,1163.60567,339488.5459,582.6564562000001,2.035970366,-0.37731594399999996,3499,-1237,4801,722.4255801,482359.8818,694.5213329,27.64580553,6038,15989844.93,14261778.08,7414858.2129999995,52617226,86654602,33401518,3.024039442,2.663232704,3.3688336010000004
10925,1,-4878,1808,1455.432533,2054219.504,1433.2548630000001,4.362409249,-2.101350719,6686,-441,2990,1256.082607,494810.6052,703.4277541,0.984212834,0.509055246,3431,-3415,1336,792.4751672,626823.4041,791.7217971,9.289555027999999,4751,65485828.47,18593679.64,8148883.961,135570167,100975585,40193081,2.74797852,2.803156004,2.638787052
10926,1,-5010,4858,1462.885905,2139248.545,1462.617019,5.97634802,-1.2416905120000001,9868,-1000,3294,1240.708832,483152.5771,695.0917761,1.985910351,0.224144058,4294,-2158,4742,867.9664092,685863.1523,828.1685531,12.99855915,6900,21093791.22,12326383.21,7708636.272999999,136962251,98518938,48215404,2.889390899,3.174702201,3.153673196
10927,1,-5000,2242,1262.891245,1517462.539,1231.853294,5.8620882960000005,-2.306351069,7242,-470,2921,1142.4836300000002,321142.8428,566.6946644999999,1.9753947669999998,0.5018266379999999,3391,-1306,4633,792.5348573,595745.2412,771.8453480000001,16.24969085,5939,18821208.03,11997761.93,4006591.6339999996,102073235,83537206,40199136,2.992045441,2.74970264,3.045990228
10928,1,-4989,1232,1251.0105230000001,1496112.875,1223.15693,6.103738529,-2.4785366580000003,6221,-147,2627,1160.280839,314440.0771,560.7495672,0.519356834,0.160767605,2774,-1099,2831,552.1840867000001,292610.5349,540.9348712,8.298585972,3930,30106331.27,10702273.39,6002160.837,100161749,86160104,19514065,2.655739504,2.754955877,3.129532142
10929,1,-5000,1434,1049.775735,1077663.835,1038.105888,10.37007831,-2.91645494,6434,-460,1833,1152.021511,303958.0928,551.3239454,-0.018943863000000002,-0.824124715,2293,-821,1207,380.2624299,128410.9294,358.34470760000005,0.914031589,2028,25010045.33,12500603.85,1900344.885,70529862,84937828,9254369,3.02370867,2.680452462,2.952409978
10930,1,-5000,2484,1502.379384,2119943.022,1456.0024119999998,3.41805236,-1.838233859,7484,-774,4676,1334.060853,740879.6482,860.74366,4.120852898,1.111642831,5450,-2128,4465,1171.705408,1292503.5929999999,1136.88328,5.254574249,6593,30707542.48,15095981.12,12049433.22,144457204,113901975,87865188,2.973216714,3.144310378,3.024895085
10931,1,-4989,3252,1205.7857199999999,1398230.5780000002,1182.468003,6.782366846,-1.789261617,8241,-431,2872,1205.688593,471139.3982,686.3959486,0.48864783799999995,0.093572134,3303,-1009,2079,471.3963466,213055.4275,461.5792754,5.525187305,3088,9965808.168,17114056.32,3110790.644,93050829,93035839,14221729,3.055855372,2.7098535619999997,3.0791290769999997
10932,1,-5000,1868,1356.66098,1688660.49,1299.484702,5.21984021,-2.240609342,6868,-254,2676,1165.035333,340077.4939,583.1616362000001,0.159495064,-0.137706298,2930,-920,970,433.59728939999997,168524.5564,410.5174252,0.251463654,1890,30414278.95,12737000.96,2698950.0289999996,117793857,86867669,12032423,2.674305966,2.563099375,2.472511453
10933,1,-4939,1868,1300.479419,1630930.429,1277.078866,5.141548332,-2.20316222,6807,-480,3686,1269.3773019999999,644200.1501,802.620801,1.0233306999999998,0.238735033,4166,-1485,2920,694.9719082,468029.4275,684.1267627000001,6.0243901179999995,4405,33831342.67,19148402.35,4686959.398,108239790,103124399,30911101,2.97902816,2.7448357480000003,3.168309153
10934,1,-5000,2121,1112.565405,1132643.452,1064.2572300000002,5.43784532,-1.466711154,7121,-892,3254,1212.587606,512141.8474,715.6408647999999,1.48492613,0.08099972400000001,4146,-1950,2277,577.4443155,317431.7803,563.410845,4.481385198,4227,10851705.16,15675851.16,5195775.448,79219314,94103597,21340284,2.968270237,2.68046412,2.8933113410000004
10935,1,-4989,2949,1211.245504,1403209.4119999998,1184.5714039999998,7.932611767999999,-2.0960152169999997,7938,-754,3529,1304.764873,606987.4844,779.0940151000001,0.657475325,0.060177981,4283,-1524,1485,598.6232251,273058.3884,522.5498909,1.53609537,3009,38448739.01,22037365.95,10701491.21,93895403,108954328,22934385,3.103246359,2.349242942,2.564676025
10936,1,-4595,1363,1116.0575279999998,1208190.5159999998,1099.177199,6.569099742000001,-2.433308945,5958,-19,2000,1047.981274,196536.46,443.32432819999997,-0.07868354799999999,0.12217140300000001,2019,-1099,1257,532.8712174,232429.8279,482.1097675,0.09914659199999999,2356,28674209.18,7287152.602000001,6397164.454,79717402,70288944,18172911,2.654156136,2.973076032,2.85584469
10937,1,-5000,4363,1182.648749,1396621.7969999998,1181.787543,7.159796922999999,-1.113229239,9363,-470,4000,1223.153832,449480.3884,670.4329857999999,4.798567485,0.7771817870000001,4470,-4009,2465,806.7108178999999,629739.2148,793.5610971,13.12828206,6474,24385575.66,13061853.03,12968292.63,89514116,95750739,41650070,3.197527234,3.068207304,2.901392903
10938,1,-4939,2020,1479.482764,1991955.188,1411.366426,2.784242117,-1.79455632,6959,-1137,4705,1344.651378,834627.6052,913.579556,3.9607073369999997,1.094502571,5842,-1792,3762,993.2450683000001,923181.3025,960.8232421,3.039198898,5554,31030607.3,13975393.05,7380070.937999999,140087632,115717589,63138289,2.92592224,3.0997936810000004,3.099281028
10939,1,-4646,1272,1240.673595,1423394.554,1193.061002,5.413084655,-2.444083327,5918,-509,3911,1240.312612,578526.5459,760.6093254,3.395064661,1.135922554,4420,-1089,2108,670.4721983,421035.3086,648.8723361000001,2.356193223,3197,23965833.68,13941993.13,3596337.273,98513342,98456024,28770110,2.409851909,2.70902536,2.661496407
10940,1,-4363,1555,1223.538503,1404478.406,1185.106918,3.475215669,-1.911125028,5918,-441,4450,1312.008658,733206.4648,856.2747601,4.788907991,1.391408467,4891,-1504,1920,677.9136537,429328.9724,655.2319989,1.673703144,3424,32229584.58,14562523.0,4663250.932,95810974,110167470,29412283,2.7003856330000002,2.931234415,2.8707776910000002
10941,1,-5000,2737,1431.6095779999998,1966408.914,1402.2870300000002,3.107638653,-1.1665059009999998,7737,-1519,3950,1376.5876859999998,994985.6836,997.489691,0.73011923,0.133201213,5469,-1891,4742,915.5268633,811108.6211,900.6156900000001,8.974149632,6633,28613051.47,33358931.97,11521271.82,131168383,121279594,53644124,3.0183267860000003,2.446744936,3.02068061
10942,1,-4656,1848,1137.283805,1155344.15,1074.8693640000001,5.270794114,-1.780959538,6504,-686,4313,1273.8364789999998,681638.1211,825.6137845,3.487709011,0.876571375,4999,-1019,1287,480.9766268999999,206517.4978,454.4419631,0.19266077199999998,2306,15864936.17,14956732.22,2339620.94,82778525,103850200,14805665,2.887232646,2.918185769,2.651608111
10943,1,-4989,2090,1529.999724,2122430.554,1456.856394,2.880288562,-1.6384318709999999,7079,-960,2882,1279.739567,655745.2634,809.7809972,-0.340532578,-0.585217619,3842,-851,1910,518.9355692,253731.5625,503.7177409,2.7222413710000004,2761,56717744.16,21531061.4,2757879.5110000004,149817546,104814935,17234824,2.709308514,2.5254389280000002,2.6720540880000003
10944,1,-4969,1828,1355.598611,1668829.3280000002,1291.831772,3.376018725,-1.695182688,6797,-715,4490,1365.483311,783627.0642,885.2271258,2.762390798,0.85946408,5205,-1386,1574,546.4903218,293150.2048,541.4334722,0.5319535479999999,2960,35356617.24,16187787.6,2897049.5730000003,117609446,119330859,19113707,2.73750014,2.9073978,2.834591047
10945,1,-4989,1121,1126.382609,1168486.3909999998,1080.96549,5.183704742,-2.05430113,6110,-1225,2941,1383.6967300000001,846978.7888,920.3145053999999,-0.302180957,-0.485862401,4166,-1207,2316,674.950357,438799.8728,662.4197105000001,0.713049905,3523,26280185.95,25109951.52,7581242.906,81199218,122535465,29155711,2.812012534,2.280682124,2.303958384
10946,1,-4989,2010,1235.901695,1326328.78,1151.663484,6.247086779,-2.189165989,6999,-1352,4656,1485.2529880000002,1397719.249,1182.2517710000002,0.125731274,0.17279246,6008,-2930,2049,856.0680829,730305.4678,854.5791173,1.782375158,4979,32702246.27,57030444.85,9620195.12,97756992,141182492,46902564,2.87996327,2.249303704,3.052338411
10947,1,-5000,1020,1143.298435,1135864.663,1065.769517,6.03262492,-2.311578544,6020,-1098,2539,1404.979988,955414.7419,977.4531917000002,-0.812134639,-0.673592015,3637,-1089,2504,759.9730258,531990.0928,729.3765096,1.2833494890000001,3593,17025857.93,39197939.17,11057181.8,83656404,126334001,36963776,3.062320715,2.32388431,2.704274565
10948,1,-5000,1373,1296.550574,1500325.41,1224.877712,6.971912098,-2.550394129,6373,-1460,2617,1332.420407,963346.0349,981.5019281,-0.842912425,-0.477541595,4077,-970,2148,522.8393037,261081.5273,510.9613756,2.792701615,3118,12014270.63,26955933.03,3780990.3239999996,107586777,113622025,17495100,3.0637312339999996,1.6376510919999998,2.748277401
