,0,Minimum_A_F,Maximum_A_F,RMS_A_F,Variance_A_F,STD_A_F,RangeA_F,Minimum_A_V,Maximum_A_V,RMS_A_V,Variance_A_V,RangeA_V,Minimum_A_L,RMS_A_L,Variance_A_L,RangeA_L,EN_A_F,EN_A_V,EN_A_L
10925,1,-4878,1808,1455.432533,2054219.504,1433.2548630000001,6686,-441,2990,1256.082607,494810.6052,3431,-3415,792.4751672,626823.4041,4751,135570167,100975585,40193081
10926,1,-5010,4858,1462.885905,2139248.545,1462.617019,9868,-1000,3294,1240.708832,483152.5771,4294,-2158,867.9664092,685863.1523,6900,136962251,98518938,48215404
10927,1,-5000,2242,1262.891245,1517462.539,1231.853294,7242,-470,2921,1142.4836300000002,321142.8428,3391,-1306,792.5348573,595745.2412,5939,102073235,83537206,40199136
10928,1,-4989,1232,1251.0105230000001,1496112.875,1223.15693,6221,-147,2627,1160.280839,314440.0771,2774,-1099,552.1840867000001,292610.5349,3930,100161749,86160104,19514065
10929,1,-5000,1434,1049.775735,1077663.835,1038.105888,6434,-460,1833,1152.021511,303958.0928,2293,-821,380.2624299,128410.9294,2028,70529862,84937828,9254369
10930,1,-5000,2484,1502.379384,2119943.022,1456.0024119999998,7484,-774,4676,1334.060853,740879.6482,5450,-2128,1171.705408,1292503.5929999999,6593,144457204,113901975,87865188
10931,1,-4989,3252,1205.7857199999999,1398230.5780000002,1182.468003,8241,-431,2872,1205.688593,471139.3982,3303,-1009,471.3963466,213055.4275,3088,93050829,93035839,14221729
10932,1,-5000,1868,1356.66098,1688660.49,1299.484702,6868,-254,2676,1165.035333,340077.4939,2930,-920,433.59728939999997,168524.5564,1890,117793857,86867669,12032423
10933,1,-4939,1868,1300.479419,1630930.429,1277.078866,6807,-480,3686,1269.3773019999999,644200.1501,4166,-1485,694.9719082,468029.4275,4405,108239790,103124399,30911101
10934,1,-5000,2121,1112.565405,1132643.452,1064.2572300000002,7121,-892,3254,1212.587606,512141.8474,4146,-1950,577.4443155,317431.7803,4227,79219314,94103597,21340284
10935,1,-4989,2949,1211.245504,1403209.4119999998,1184.5714039999998,7938,-754,3529,1304.764873,606987.4844,4283,-1524,598.6232251,273058.3884,3009,93895403,108954328,22934385
10936,1,-4595,1363,1116.0575279999998,1208190.5159999998,1099.177199,5958,-19,2000,1047.981274,196536.46,2019,-1099,532.8712174,232429.8279,2356,79717402,70288944,18172911
10937,1,-5000,4363,1182.648749,1396621.7969999998,1181.787543,9363,-470,4000,1223.153832,449480.3884,4470,-4009,806.7108178999999,629739.2148,6474,89514116,95750739,41650070
10938,1,-4939,2020,1479.482764,1991955.188,1411.366426,6959,-1137,4705,1344.651378,834627.6052,5842,-1792,993.2450683000001,923181.3025,5554,140087632,115717589,63138289
10939,1,-4646,1272,1240.673595,1423394.554,1193.061002,5918,-509,3911,1240.312612,578526.5459,4420,-1089,670.4721983,421035.3086,3197,98513342,98456024,28770110
10940,1,-4363,1555,1223.538503,1404478.406,1185.106918,5918,-441,4450,1312.008658,733206.4648,4891,-1504,677.9136537,429328.9724,3424,95810974,110167470,29412283
10941,1,-5000,2737,1431.6095779999998,1966408.914,1402.2870300000002,7737,-1519,3950,1376.5876859999998,994985.6836,5469,-1891,915.5268633,811108.6211,6633,131168383,121279594,53644124
10942,1,-4656,1848,1137.283805,1155344.15,1074.8693640000001,6504,-686,4313,1273.8364789999998,681638.1211,4999,-1019,480.9766268999999,206517.4978,2306,82778525,103850200,14805665
10943,1,-4989,2090,1529.999724,2122430.554,1456.856394,7079,-960,2882,1279.739567,655745.2634,3842,-851,518.9355692,253731.5625,2761,149817546,104814935,17234824
10944,1,-4969,1828,1355.598611,1668829.3280000002,1291.831772,6797,-715,4490,1365.483311,783627.0642,5205,-1386,546.4903218,293150.2048,2960,117609446,119330859,19113707
10945,1,-4989,1121,1126.382609,1168486.3909999998,1080.96549,6110,-1225,2941,1383.6967300000001,846978.7888,4166,-1207,674.950357,438799.8728,3523,81199218,122535465,29155711
10946,1,-4989,2010,1235.901695,1326328.78,1151.663484,6999,-1352,4656,1485.2529880000002,1397719.249,6008,-2930,856.0680829,730305.4678,4979,97756992,141182492,46902564
10947,1,-5000,1020,1143.298435,1135864.663,1065.769517,6020,-1098,2539,1404.979988,955414.7419,3637,-1089,759.9730258,531990.0928,3593,83656404,126334001,36963776
10948,1,-5000,1373,1296.550574,1500325.41,1224.877712,6373,-1460,2617,1332.420407,963346.0349,4077,-970,522.8393037,261081.5273,3118,107586777,113622025,17495100
10949,1,-989,272,420.29942819999997,58884.673579999995,242.66164419999998,1261,235,1696,996.5501508,65050.917720000005,1461,-346,250.94256690000003,40905.9978,1029,11305703,63559181,4030219
10950,1,-4272,1323,1019.5843980000001,992463.3438,996.2245447999999,5595,-9,2225,1131.972394,187572.3506,2234,-801,502.6696853,159422.9219,2593,66531350,82007136,16171316
10951,1,-4989,2151,1253.960021,1492335.5780000002,1221.611877,7140,-539,2117,1022.9588289999999,201740.1658,2656,-1000,589.5874352000001,242110.1836,2603,100634607,66972465,22247254
10952,1,-1747,848,516.4767359,219210.5928,468.19930880000004,2595,352,2598,1098.00619,118094.5068,2246,-702,350.3690019,77362.80859,1702,17071886,77159526,7856540
10953,1,-3727,1222,1060.660466,1046127.413,1022.8037019999999,4949,-225,3500,1255.098129,357145.2148,3725,-1188,710.1024794,427291.3037,4059,72000040,100817364,32271714
10954,1,-4232,949,1075.262882,1094833.4270000001,1046.342882,5181,-500,3725,1209.899189,421765.9861,4225,-1099,592.6922684,299826.0381,2910,73996177,93686787,22482184
10955,1,-4202,1464,1015.494653,968799.6833,984.2762231,5666,-794,2519,1122.301388,334116.4063,3313,-891,493.3850392,192105.3103,2653,65998681,80611866,15579443
10956,1,-4959,1373,1119.541536,1213448.215,1101.5662550000002,6332,-1058,2852,1293.6168949999999,706018.7439,3910,-910,649.5877779,367602.4443,2781,80215888,107100459,27005714
10957,1,-5000,1616,1378.155119,1754721.469,1324.659001,6616,-813,2186,1200.812642,609180.6836,2999,-722,566.3652201,240927.9961,2890,121555938,92284864,20529252
10958,1,-4989,1414,1288.32402,1591657.781,1261.609203,6403,-637,2078,1223.546542,497284.8787,2715,-623,470.6968073,137663.7927,2028,106225842,95812233,14179551
10959,1,-4414,1141,1270.107439,1491000.812,1221.065441,5555,-862,2372,1185.9336970000002,437721.4294,3234,-663,520.9007973,186028.0095,1910,103243066,90012079,17365609
10960,1,-4989,1515,1181.355471,1255748.124,1120.6016789999999,6504,-1058,2431,1271.545412,834238.699,3489,-861,836.5550638999999,613259.7021,3266,89318448,103476975,44788760
10961,1,-5000,989,1192.7450019999999,1282752.953,1132.586841,5989,-1225,2313,1327.804814,934965.625,3538,-1316,971.4931887,843755.3025,4375,91049001,112836200,60403137
10962,1,-5000,1505,1185.535052,1297221.513,1138.956326,6505,-1666,3872,1598.996829,1564307.929,5538,-1574,1016.833973,985695.5955,4564,89951575,163634615,66172885
10963,1,-3848,777,681.1787807,416398.7461,645.2896606,4625,-186,2656,1203.452462,352186.9822,2842,-1000,366.06633619999997,76104.17188,1831,29696290,92691061,8576292
10964,1,-4797,1565,1146.9512300000001,1193215.777,1092.344166,6362,-1205,2470,1232.992245,537197.625,3675,-762,459.5212012,140262.3513,2603,84191816,97297272,13514223
10965,1,-4181,1121,752.0733944,509215.5623,713.5934152000001,5302,-490,2166,1145.156335,304245.3398,2656,-801,634.1726771000001,337857.2693,2672,36199321,83928514,25739199
10966,1,-3939,1101,899.5694717,741112.3904,860.8788477,5040,-627,2019,1119.447171,381272.9063,2646,-891,569.6833138999999,259729.0564,3039,51790415,80202366,20770501
10967,1,-3929,1050,965.1692857,802086.7148,895.5929403999999,4979,-1460,2362,1241.770189,520030.1658,3822,-1346,545.5815561000001,240291.4998,2771,59619312,98687565,19050191
10968,1,-4979,1686,1538.3879960000002,2209499.71,1486.438599,6665,-843,2078,1158.900267,487164.6521,2921,-1594,550.5971049,219988.0193,2881,151464808,85955189,19402059
10969,1,-4666,1505,1360.967435,1653803.8730000001,1286.003061,6171,-784,2441,1110.301296,308647.2461,3225,-475,453.9265325,136625.281,1960,118542871,78897214,13187155
10970,1,-4959,1707,1206.681516,1369257.976,1170.152971,6666,-1313,2705,1245.459604,623920.9961,4018,-811,563.0624827,237665.1013,3058,93189138,99274856,20290519
10971,1,-5000,2121,1375.8818019999999,1742300.539,1319.962325,7121,-1411,2313,1256.8982839999999,619668.9021,3724,-752,496.28990710000005,180150.2244,2286,121155247,101106771,15763435
10972,1,-4989,1292,1069.25423,1003860.713,1001.9284970000001,6281,-1500,2627,1299.473439,865301.8281,4127,-900,738.7669837000001,482963.7656,3652,73171495,108072398,34929706
10973,1,-5000,2363,1399.694833,1789066.71,1337.559984,7363,-3735,4156,1479.016174,1384504.835,7891,-1425,535.8144356,242053.6794,3118,125385320,139999286,18374215
10974,1,-4878,1626,1279.756019,1501337.5780000002,1225.290814,6504,-1205,1950,1250.3279009999999,610591.3533,3155,-445,445.31642539999996,129433.2773,2039,104817630,100052471,12691630
10975,1,-1373,1101,496.67970999999994,201660.5681,449.06632930000006,2474,-333,2313,1157.210351,276980.113,2646,-405,331.31633769999996,58347.86694,1256,15788207,85704691,7025313
10976,1,-2606,1050,788.8594417,576047.3398,758.9778257,3656,-254,1980,1062.735827,132717.1943,2234,-346,452.9699907,118212.1162,2147,39827150,72282076,13131636
10977,1,-1818,979,551.8477059999999,267881.5916,517.5727887,2797,156,2245,1116.455258,113245.5615,2089,-574,397.406121,80855.98438,1910,19490297,79774230,10107624
10978,1,-2404,1161,665.5839307,391728.0273,625.8817998,3565,450,1980,1026.180707,72761.20996000001,1530,-128,336.92794110000006,37809.475589999995,939,28352126,67394998,7265308
10979,1,-3232,797,702.4785361,446101.8506,667.9085645,4029,480,1901,1053.040642,56475.078129999994,1421,-267,382.25895180000003,55068.84375,1781,31582470,70969254,9351802
10980,1,-888,515,348.5982421,64884.17163,254.7237163,1403,637,1519,992.4951038999999,31311.178710000004,882,-1613,507.2839904,172792.3982,3167,7777327,63042978,16469571
10981,1,-616,606,233.0888377,35808.89746,189.23239009999998,1222,754,1617,1018.4979519999999,22628.12671,863,-1188,496.1848037,192657.738,2881,3477146,66389637,15756759
10982,1,-2424,646,420.4541629,139863.6833,373.9835335,3070,676,1843,1014.806624,36166.17358,1167,-1673,498.37493729999994,191458.0564,3316,11314029,65909279,15896165
10983,1,-1030,464,278.58487260000004,56366.46875,237.4162352,1494,607,2088,1052.477954,48354.28125,1481,-465,388.461569,102164.9294,1732,4967010,70893430,9657753
10984,1,-525,414,241.4668714,30843.5459,175.62330680000002,939,549,1480,1033.426287,35936.12866,931,-712,383.60634530000004,78975.72241,1533,3731600,68350073,9417845
10985,1,-545,181,221.6436117,22122.15796,148.7351941,726,715,1294,996.6936198999999,13143.47827,579,-326,359.94485249999997,61691.90601,1434,3144057,63577483,8291859
10986,1,-828,232,251.04699509999998,23771.07813,154.17872140000003,1060,803,1980,1009.903538,20530.05859,1177,-544,356.03945530000004,52422.663089999995,1712,4033574,65273930,8112902
10987,1,-535,333,233.97679509999998,30443.253660000002,174.479952,868,774,1323,990.4440055,11769.843509999999,549,-663,443.0183405,92581.25,1861,3503689,62782677,12560976
10988,1,-919,1454,417.18163389999995,169829.7224,412.10401889999997,2373,813,1421,1022.864383,11676.49585,608,-326,318.5488581,40340.8125,1147,11138593,66960099,6494296
10989,1,-1494,3111,537.3396853999999,275154.4053,524.5516231,4605,441,1813,1029.689926,37761.18359,1372,-108,344.1215038,25022.51929,810,18478972,67856726,7578855
10990,1,-3303,1121,739.2290853,503357.98799999995,709.4772638999999,4424,98,1705,1034.270924,53022.24609,1607,-306,326.9644715,53089.015380000004,1395,34973417,68461846,6841969
10991,1,-3767,898,856.0913995,698441.6443,835.728212,4665,-186,2049,1065.3458210000001,103594.5273,2235,-247,342.14377,63578.57007,1850,46905119,72637550,7491991
10992,1,-4414,1242,1083.2347539999998,1111878.03,1054.4562720000001,5656,-411,2980,1133.311064,247560.9063,3391,-594,429.38899180000004,115107.2461,2366,75097442,82201214,11799994
10993,1,-3585,1010,1003.366085,899138.9990000001,948.2294021,4595,166,2137,1041.657521,103805.3689,1971,-247,404.61113660000007,85021.15601,1544,64431584,69443225,10477451
10994,1,-3626,1141,955.2896648,838560.3398,915.7294032,4767,-156,1588,1030.7025820000001,90829.56934,1744,-396,378.46334039999994,74081.93652,1613,58405014,67990260,9167008
10995,1,-2272,565,466.07327410000005,152668.6033,390.7282985,2837,401,1872,1019.2869519999999,35661.94897,1471,-188,296.40739489999993,22193.28125,900,13902355,66492537,5622870
10996,1,-1545,242,360.97812000000005,80122.20288,283.0586563,1787,382,1460,1023.1516949999999,32381.25562,1078,-653,369.9380016,89520.68359,1860,8339533,66997721,8758664
10997,1,-3737,848,770.1400441000001,514505.5469,717.2904202000001,4585,98,1931,1020.322919,70864.64038,1833,-227,352.1799744,38611.53882,1147,37959404,66627767,7937967
10998,1,-2616,1000,520.3188025000001,253191.9648,503.18184069999995,3616,450,1803,1047.255401,76138.8125,1353,-485,327.87843119999997,33885.314210000004,1306,17326826,70191608,6880273
10999,1,-3171,1070,776.8526545,503199.1775,709.3653343,4241,127,2352,1165.448881,220382.2021,2225,19,467.5921534,46144.970460000004,1129,38624003,86929350,13993115
11000,1,-898,414,224.1965864,31430.835689999996,177.2874381,1312,686,1362,1017.6751230000001,11645.15234,676,-663,301.14279730000004,49217.48022,1474,3216903,66282410,5803967
11001,1,-3060,1050,697.1134232999999,432244.5771,657.4530988,4110,470,1460,1019.514989,41472.249019999996,990,-930,365.68674689999995,89816.90405,1890,31101896,66522292,8558515
11002,1,-4111,1404,797.2137123,599062.7341,773.9914302999999,5515,-254,2519,1130.935675,242436.9844,2773,-465,370.2721761,86694.21851,1395,40675181,81856992,8774495
11003,1,-4070,1080,1010.3186919999999,946291.6208,972.775216,5150,-235,2284,1060.7497720000001,168247.5857,2519,-504,434.44472460000003,105311.5068,2197,65327607,72012165,12079502
11004,1,-3040,787,796.5441372,551610.5469,742.7048855,3827,117,1745,1020.1752449999999,79070.85059,1628,-247,371.406133,53197.84741,1662,40606884,66608482,8828321
11005,1,-2171,767,512.6129601,209663.4041,457.8901659,2938,303,1833,1014.937883,62334.84375,1530,-267,297.7552476,36816.58984,1158,16817411,65926330,5674124
11006,1,-3111,848,760.7076063999999,494104.1523,702.9254245,3959,284,2058,1026.206082,88805.60913,1774,-356,403.9180958,76704.64038,1930,37035268,67398331,10441589
11007,1,-1606,535,426.38313539999996,143954.0916,379.4128247,2141,529,1509,1033.051918,35479.94507,980,-653,325.2891742,47105.271239999995,1464,11635365,68300561,6772035
11008,1,-1282,828,394.29898239999994,117847.8115,343.2896904,2110,176,2107,1024.673317,89432.90234,1931,-653,468.6924631,169832.0625,2603,9950188,67197146,14059048
11009,1,-3585,888,579.5361831,320970.5615,566.5426388,4473,186,2205,1065.746042,137626.3037,2019,-980,519.020276,229275.7263,3267,21495180,72692136,17240451
11010,1,-1767,272,434.09971490000004,132199.4756,363.59245810000004,2039,294,1705,1015.899348,32645.14624,1411,-356,330.4281787,34312.14063,1365,12060324,66051295,6987698
11011,1,-2232,363,535.6553813,223469.9287,472.726061,2595,529,1392,998.4895702,15117.19116,863,-128,281.67096269999996,23657.28027,712,18363308,63806811,5077666
11012,1,-2464,606,458.27758370000004,162125.7568,402.64842830000003,3070,421,1235,1002.413166,11508.47559,814,-19,277.8854868,9620.34375,514,13441174,64309258,4942102
11013,1,-3757,1171,772.1472496,507183.7344,712.1683329,4928,107,1352,993.3234382999999,49455.69116,1245,-306,351.38660600000003,47356.90991,1246,38157528,63148253,7902243
11014,1,-3686,666,667.8268395,385430.5537,620.8305353999999,4352,-549,1794,1030.4125609999999,111642.9451,2343,-584,437.54644400000006,123578.4998,2178,28543532,67952003,12252601
11015,1,-1323,171,267.6009739,37892.14063,194.6590368,1494,607,1529,1008.933595,16571.52734,922,-108,276.4313602,14561.05249,662,4583058,65148608,4890515
11016,1,-1313,121,281.33768080000004,43423.984130000004,208.38422240000003,1434,549,1352,1005.2293119999999,13608.52734,803,-29,255.46764720000002,10887.30859,474,5065657,64671102,4176878
11017,1,-3343,1171,681.6891588999999,410432.9509,640.6504123999999,4514,196,2313,1129.636847,104070.1787,2117,-108,312.1415694,17157.53296,771,29740807,81669082,6235671
11018,1,-1727,353,378.8834955,95830.9353,309.5657205,2080,578,1500,994.9728403999999,22299.114990000002,922,-891,399.53091639999997,117644.7849,1692,9187373,63358141,10215997
11019,1,-757,636,284.70582410000003,59977.99609,244.9040549,1393,529,1558,1022.042983,34389.82202,1029,-1445,472.3059952,161886.2927,2504,5187674,66852599,14276669
11020,1,-636,1040,371.5263912,115909.9451,340.4554965,1676,607,1568,1000.173743,30214.857180000003,961,-801,431.9940682,100733.2461,2147,8834039,64022241,11943608
11021,1,-666,1444,393.514096,137454.085,370.74800739999995,2110,705,2019,1027.218681,32741.25684,1314,-1366,442.7496471,130906.5898,2395,9910614,67531406,12545744
11022,1,-404,333,228.1893745,22888.142330000002,151.2882756,737,823,1784,1011.1234699999999,17333.09351,961,-990,369.0949446,64163.9978,1752,3332505,65431723,8718789
11023,1,-2656,686,549.2170706,276452.7087,525.7877031,3342,205,1823,1044.279319,41207.16772,1618,-445,282.4777093,29112.39063,1128,19304921,69793235,5106794
11024,1,-2838,565,653.3590728999999,350658.94700000004,592.1646283,3403,19,1980,1012.1408849999999,65774.00366,1961,-495,354.68341960000004,46478.88647,1287,27320197,65563467,8051221
11025,1,-3070,555,726.746345,477225.4023,690.8150276,3625,-205,2068,1018.798641,81252.72241,2273,-455,350.728973,54563.171879999994,1425,33802256,66428843,7872692
11026,1,-1898,313,408.1982706,108416.7263,329.266953,2211,441,1362,1008.82382,18600.30859,921,-59,289.4584383,12880.4834,643,10664053,65134432,5362316
11027,1,-3171,656,645.6533512999999,338328.1875,581.6598554999999,3827,49,1284,984.0979212999999,33843.15625,1235,-89,280.4427861,22271.58984,643,26679568,61980718,5033482
11028,1,-2101,292,424.33989180000003,122449.3428,349.9276251,2393,372,1539,1003.3941689999999,40480.140380000004,1167,-237,345.4207579,36551.40234,979,11524118,64435191,7636192
11029,1,-1555,202,316.5102437,56425.861079999995,237.5412829,1757,696,1382,997.8205077,9751.915771,686,-59,276.1039207,16910.68359,603,6411439,63721329,4878936
11030,1,-1696,252,409.9511023,104335.2148,323.0096204,1948,568,1313,977.000072,16567.15601,745,-9,283.4544992,11464.8103,533,10755834,61089865,5142173
11031,1,-1616,90,290.6331988,45720.194339999995,213.82281060000003,1706,803,1401,1016.321907,7880.527344,598,-326,286.23588939999996,24143.33179,1078,5405930,66106254,5243583
11032,1,-2353,585,734.9125692000001,437145.7458,661.1699826,2938,-49,1725,1025.734257,64374.30835,1774,-445,399.9891795,70291.09375,1504,34566175,67336369,10239446
11033,1,-2797,838,619.4931144,330193.9365,574.6250399,3635,-68,2068,1049.063556,83083.87109,2136,-970,449.868123,135550.9998,2514,24561390,70434198,12952405
11034,1,-2212,565,609.4259337999999,319116.2881,564.9037866,2777,117,1686,1018.824391,80754.92554,1569,-841,499.0195074,175002.4648,3217,23769598,66432201,15937310
11035,1,-3181,424,498.9164509,211172.4209,459.5350051,3605,117,1568,1019.214457,41827.06226,1451,-584,401.7129144,92228.91967999999,1910,15930728,66483079,10327889
11036,1,-2282,252,366.5945691,101182.2107,318.0915131,2534,696,1372,1007.448727,12451.375,676,-237,247.80158390000003,17121.68359,959,8601061,64956988,3929960
11037,1,-525,333,225.0578051,14794.04272,121.63076389999999,858,794,1303,996.3708992,6457.703125,509,-188,316.2915981,23950.600590000002,861,3241665,63536318,6402584
11038,1,-2949,575,559.7682696,262708.4841,512.5509576000001,3524,49,1588,1027.656664,55077.96875,1539,-524,349.2416338,59610.26465,1603,20053793,67589006,7806062
11039,1,-2505,616,625.2130137,345108.6865,587.4595191000001,3121,-58,1970,1027.192107,114829.7773,2028,-702,445.3216359,156100.3728,2256,25017044,67527912,12691927
11040,1,-2808,717,688.1378745000001,372796.9255,610.5709832,3525,-127,1578,1020.5405119999999,82939.55859,1705,-1059,521.1947962,193305.2537,2811,30306159,66656188,17385217
11041,1,-2949,636,497.92190030000006,218040.4531,466.9480197,3585,137,2019,1047.885535,103992.7803,1882,-514,349.69147119999997,69484.70215,1464,15867278,70276102,7826184
11042,1,-2191,545,585.9643494,257395.3086,507.34141229999994,2736,107,1549,1005.283581,50899.32397,1442,-168,361.15117589999994,36631.53882,1019,21974670,64678085,8347531
11043,1,-1959,303,470.448174,157856.8533,397.3120351,2262,343,1647,1016.2825330000001,36826.1875,1304,-158,295.0429789,26141.66187,880,14164575,66101132,5571223
11044,1,-1494,191,442.1379168,111186.4443,333.44631400000003,1685,588,1303,964.8268788999999,18089.80371,715,-89,297.14046030000003,27012.9978,752,12511100,59577018,5650717
11045,1,-1797,262,346.8909681,81794.74609,285.99780780000003,2059,450,1480,1029.913657,22584.03491,1030,-306,299.3438397,26942.564210000004,1018,7701334,67886217,5734831
11046,1,-2090,434,467.028355,158144.0662,397.6733159,2524,274,1441,1007.33734,32678.48413,1167,-217,333.4116965,49651.609130000004,1038,13959391,64942625,7114455
11047,1,-2313,393,540.8656834,219348.5303,468.346592,2706,264,1519,978.5464986,38351.6875,1255,-227,282.4217535,30137.523189999996,850,18722284,61283408,5104771
11048,1,-2494,707,600.4785982000001,286258.6755,535.0314715,3201,29,2196,1042.763756,144211.7881,2167,-544,416.3622972,125437.6162,2187,23076771,69590800,11094884
11049,1,-2383,606,682.6016179,345839.4023,588.0811187999999,2989,49,1529,986.1709490000001,61790.970460000004,1480,-405,402.1697986,89623.1228,1474,29820478,62242121,10351395
11050,1,-1060,141,304.7736865,37735.413089999995,194.2560503,1201,676,1362,1006.9279630000001,12309.53687,686,-128,288.9585286,17656.67871,850,5944768,64889851,5343810
11051,1,-2181,474,410.1362578,104471.2803,323.2201731,2655,549,1460,994.0743889,21741.29077,911,-217,288.7576298,15894.6709,712,10765552,63243769,5336382
11052,1,-2636,353,519.6374036000001,209936.7656,458.1885699,2989,235,1549,999.4861883,44107.76733,1314,-227,315.4047747,39064.068119999996,1038,17281474,63934249,6366731
11053,1,-1969,262,494.90835639999995,162457.6211,403.06031939999997,2231,284,1303,997.8388757000001,37883.782960000004,1019,-386,356.13998300000003,61603.33496,1574,15675794,63723675,8117484
11054,1,-1464,252,335.3505395,76614.84546,276.7938682,1716,490,1372,1029.567332,29815.60913,882,-138,287.2992506,18444.861080000002,613,7197439,67840569,5282615
11055,1,-2696,808,910.1613267000001,733481.5095,856.4353505,3504,-176,2294,1058.634454,143945.3086,2470,-396,349.1206588,62250.06812,1138,53017193,71725242,7800655
11056,1,-3474,868,724.9680489,460306.406,678.4588462,4342,-156,1980,1040.28191,102426.7361,2136,-287,416.3756004,84760.09546,1742,33637035,69259933,11095593
11057,1,-3141,858,826.3333543,591849.1719,769.3173415,3999,-176,2196,1026.299801,124838.5898,2372,-376,397.1044809,67166.20313,1772,43700916,67410642,10092286
11058,1,-2606,777,584.5728275,295695.0291,543.7784742,3383,411,1803,1007.1939359999999,55998.625,1392,-59,329.02968139999996,28171.53125,732,21870425,64924136,6928674
11059,1,-2414,545,514.2699163999999,186641.2654,432.01998260000005,2959,519,1549,991.5946989,27478.855219999998,1030,-19,300.9188792,18602.49194,801,16926307,62928643,5795339
11060,1,-1696,494,430.55982819999997,128133.7263,357.9577158,2190,607,1490,1005.5141869999999,32443.21875,883,9,283.54102989999996,14835.51343,495,11864433,64707762,5145313
11061,1,-2888,606,654.9728643999999,380706.2576,617.0139849,3494,-107,2509,1048.140906,108045.6951,2616,-1069,519.4019247,201665.5154,2969,27455325,70310359,17265815
11062,1,-2191,656,559.5937421,260230.7803,510.12819979999995,2847,-147,2029,1044.544062,103377.9548,2176,-821,466.7134761,133031.3086,2157,20041290,69828627,13940574
11063,1,-2505,707,654.5922992000001,363792.3865,603.1520426,3212,-186,2294,1041.871243,160232.0537,2480,-772,491.85756,169655.2986,2138,27423429,69471724,15483127
11064,1,-2979,545,730.8807935,398889.2048,631.5767607999999,3524,-137,1882,1001.494508,113388.5898,2019,-207,363.66715120000003,54978.48413,1078,34187951,64191440,8464243
11065,1,-2212,323,447.5415658,137988.613,371.4681858,2535,500,1970,1031.938089,37397.225589999995,1470,-19,283.6051668,11386.11694,514,12818781,68153358,5147641
11066,1,-2101,434,455.5494107,142667.5017,377.713518,2535,303,1549,1010.404398,23633.948969999998,1246,-158,292.7206433,18620.56152,831,13281617,65338691,5483864
11067,1,-2393,636,506.7789829,227219.4336,476.6753965,3029,-68,1764,1016.013426,68388.8584,1832,-1029,483.2421915,151198.8533,3464,16436796,66066130,14945473
11068,1,-2353,727,407.9044389,146601.8506,382.886211,3080,382,1745,1018.3576310000001,39706.751710000004,1363,-118,308.4747001,22079.34546,672,10648706,66371345,6090025
11069,1,-2666,414,588.8092194,265889.3513,515.6445978999999,3080,245,1539,1010.6218230000001,38284.21875,1294,-267,349.0968705,42132.98438,1158,22188563,65366814,7799592
11070,1,-1686,494,317.03945439999995,98962.39429,314.5828894,2180,715,1470,1015.526688,18094.9314,755,-1039,358.4891691,72619.1814,1652,6432897,66002845,8224927
11071,1,-1313,757,336.748492,109127.69900000001,330.34481830000004,2070,284,2029,1046.159255,46641.04688,1745,-871,319.297887,44028.189210000004,1554,7257571,70044748,6524873
11072,1,-1343,1020,288.57169819999996,82128.22559,286.58022539999996,2363,235,2480,1049.3713300000002,58483.921879999994,2245,-118,315.68063870000003,21263.01538,949,5329512,70475532,6377873
11073,1,-989,1959,347.82624069999997,120978.1709,347.8191641,2948,0,2098,1040.303546,57644.6709,2098,-158,264.1379256,15275.77734,781,7742918,69262814,4465206
11074,1,-70,-10,38.81043674,169.4335938,13.016666,60,980,1029,1007.787366,75.3125,49,227,258.7921463,199.58496090000003,60,96400,65000664,4286296
11075,1,-50,-20,37.27012879,63.64746094,7.977935882000001,30,980,1029,1009.4844449999999,94.77734375,49,237,261.1972435,151.92871090000003,50,88900,65219766,4366336
11076,1,-50,0,32.78719262,98.4375,9.921567416,50,980,1029,1010.976717,110.8845215,49,227,257.4689302,160.91308590000003,60,68800,65412731,4242576
11077,1,-2272,5131,1045.061003,1041892.465,1020.731338,7403,-823,3352,1186.478653,470041.9756,4175,-475,320.0569773,53013.62109,1267,69897760,90094822,6555934
11078,1,-2666,5111,1058.257154,1107318.662,1052.292099,7777,-1068,2343,1205.301291,423128.7712,3411,-950,376.24314780000003,79853.24121000001,1712,71674125,92976077,9059770
11079,1,-3565,5141,1010.2024470000001,974236.9412,987.0344174,8706,-1735,3078,1243.273904,629581.9131,4813,-1316,504.30928939999995,236250.2166,2137,65312575,98926720,16276983
11080,1,-565,515,204.77277800000002,31345.409910000002,177.0463496,1080,696,1627,1048.831582,22214.40234,931,-574,275.11352769999996,46590.5564,1593,2683641,70403052,4843997
11081,1,-2212,2191,610.7932087,370409.6523,608.612892,4403,-323,2833,1101.848787,167158.0898,3156,-1059,366.1725387,76369.77318999999,1801,23876374,77700528,8581269
11082,1,-252,595,222.0268143,32654.90625,180.70668569999998,847,558,1343,1025.111846,27311.08374,785,-79,295.9236863,21594.0896,732,3154938,67254675,5604533
11083,1,-3111,5111,1573.171096,2407794.39,1551.7069279999998,8222,-1833,3950,1741.45535,1943415.7519999999,5783,-2821,718.2662611000001,498461.7908,4058,158391507,194090671,33018011
11084,1,-4474,5121,1644.045164,2688775.515,1639.748613,9595,-2450,3549,1516.840075,1393488.03,5999,-1663,679.7526548999999,417681.033,3257,172984608,147251444,29572075
11085,1,-252,393,129.9853958,9737.456787000001,98.67855282,645,313,1352,1019.8241039999999,16308.286869999998,1039,138,304.21499900000003,4328.484131,366,1081357,66562637,5922993
